id,debut,fin,indMatin,indApresMidi,indSoiree
1,00:00:00,00:15:00,TRUE,FALSE,FALSE
2,00:15:00,00:30:00,TRUE,FALSE,FALSE
3,00:30:00,00:45:00,TRUE,FALSE,FALSE
4,00:45:00,01:00:00,TRUE,FALSE,FALSE
5,01:00:00,01:15:00,TRUE,FALSE,FALSE
6,01:15:00,01:30:00,TRUE,FALSE,FALSE
7,01:30:00,01:45:00,TRUE,FALSE,FALSE
8,01:45:00,02:00:00,TRUE,FALSE,FALSE
9,02:00:00,02:15:00,TRUE,FALSE,FALSE
10,02:15:00,02:30:00,TRUE,FALSE,FALSE
11,02:30:00,02:45:00,TRUE,FALSE,FALSE
12,02:45:00,03:00:00,TRUE,FALSE,FALSE
13,03:00:00,03:15:00,TRUE,FALSE,FALSE
14,03:15:00,03:30:00,TRUE,FALSE,FALSE
15,03:30:00,03:45:00,TRUE,FALSE,FALSE
16,03:45:00,04:00:00,TRUE,FALSE,FALSE
17,04:00:00,04:15:00,TRUE,FALSE,FALSE
18,04:15:00,04:30:00,TRUE,FALSE,FALSE
19,04:30:00,04:45:00,TRUE,FALSE,FALSE
20,04:45:00,05:00:00,TRUE,FALSE,FALSE
21,05:00:00,05:15:00,TRUE,FALSE,FALSE
22,05:15:00,05:30:00,TRUE,FALSE,FALSE
23,05:30:00,05:45:00,TRUE,FALSE,FALSE
24,05:45:00,06:00:00,TRUE,FALSE,FALSE
25,06:00:00,06:15:00,TRUE,FALSE,FALSE
26,06:15:00,06:30:00,TRUE,FALSE,FALSE
27,06:30:00,06:45:00,TRUE,FALSE,FALSE
28,06:45:00,07:00:00,TRUE,FALSE,FALSE
29,07:00:00,07:15:00,TRUE,FALSE,FALSE
30,07:15:00,07:30:00,TRUE,FALSE,FALSE
31,07:30:00,07:45:00,TRUE,FALSE,FALSE
32,07:45:00,08:00:00,TRUE,FALSE,FALSE
33,08:00:00,08:15:00,TRUE,FALSE,FALSE
34,08:15:00,08:30:00,TRUE,FALSE,FALSE
35,08:30:00,08:45:00,TRUE,FALSE,FALSE
36,08:45:00,09:00:00,TRUE,FALSE,FALSE
37,09:00:00,09:15:00,TRUE,FALSE,FALSE
38,09:15:00,09:30:00,TRUE,FALSE,FALSE
39,09:30:00,09:45:00,TRUE,FALSE,FALSE
40,09:45:00,10:00:00,TRUE,FALSE,FALSE
41,10:00:00,10:15:00,TRUE,FALSE,FALSE
42,10:15:00,10:30:00,TRUE,FALSE,FALSE
43,10:30:00,10:45:00,TRUE,FALSE,FALSE
44,10:45:00,11:00:00,TRUE,FALSE,FALSE
45,11:00:00,11:15:00,TRUE,FALSE,FALSE
46,11:15:00,11:30:00,TRUE,FALSE,FALSE
47,11:30:00,11:45:00,TRUE,FALSE,FALSE
48,11:45:00,12:00:00,TRUE,FALSE,FALSE
49,12:00:00,12:15:00,FALSE,TRUE,FALSE
50,12:15:00,12:30:00,FALSE,TRUE,FALSE
51,12:30:00,12:45:00,FALSE,TRUE,FALSE
52,12:45:00,13:00:00,FALSE,TRUE,FALSE
53,13:00:00,13:15:00,FALSE,TRUE,FALSE
54,13:15:00,13:30:00,FALSE,TRUE,FALSE
55,13:30:00,13:45:00,FALSE,TRUE,FALSE
56,13:45:00,14:00:00,FALSE,TRUE,FALSE
57,14:00:00,14:15:00,FALSE,TRUE,FALSE
58,14:15:00,14:30:00,FALSE,TRUE,FALSE
59,14:30:00,14:45:00,FALSE,TRUE,FALSE
60,14:45:00,15:00:00,FALSE,TRUE,FALSE
61,15:00:00,15:15:00,FALSE,TRUE,FALSE
62,15:15:00,15:30:00,FALSE,TRUE,FALSE
63,15:30:00,15:45:00,FALSE,TRUE,FALSE
64,15:45:00,16:00:00,FALSE,TRUE,FALSE
65,16:00:00,16:15:00,FALSE,TRUE,FALSE
66,16:15:00,16:30:00,FALSE,TRUE,FALSE
67,16:30:00,16:45:00,FALSE,TRUE,FALSE
68,16:45:00,17:00:00,FALSE,TRUE,FALSE
69,17:00:00,17:15:00,FALSE,TRUE,FALSE
70,17:15:00,17:30:00,FALSE,TRUE,FALSE
71,17:30:00,17:45:00,FALSE,TRUE,FALSE
72,17:45:00,18:00:00,FALSE,TRUE,FALSE
73,18:00:00,18:15:00,FALSE,FALSE,TRUE
74,18:15:00,18:30:00,FALSE,FALSE,TRUE
75,18:30:00,18:45:00,FALSE,FALSE,TRUE
76,18:45:00,19:00:00,FALSE,FALSE,TRUE
77,19:00:00,19:15:00,FALSE,FALSE,TRUE
78,19:15:00,19:30:00,FALSE,FALSE,TRUE
79,19:30:00,19:45:00,FALSE,FALSE,TRUE
80,19:45:00,20:00:00,FALSE,FALSE,TRUE
81,20:00:00,20:15:00,FALSE,FALSE,TRUE
82,20:15:00,20:30:00,FALSE,FALSE,TRUE
83,20:30:00,20:45:00,FALSE,FALSE,TRUE
84,20:45:00,21:00:00,FALSE,FALSE,TRUE
85,21:00:00,21:15:00,FALSE,FALSE,TRUE
86,21:15:00,21:30:00,FALSE,FALSE,TRUE
87,21:30:00,21:45:00,FALSE,FALSE,TRUE
88,21:45:00,22:00:00,FALSE,FALSE,TRUE
89,22:00:00,22:15:00,FALSE,FALSE,TRUE
90,22:15:00,22:30:00,FALSE,FALSE,TRUE
91,22:30:00,22:45:00,FALSE,FALSE,TRUE
92,22:45:00,23:00:00,FALSE,FALSE,TRUE
93,23:00:00,23:15:00,FALSE,FALSE,TRUE
94,23:15:00,23:30:00,FALSE,FALSE,TRUE
95,23:30:00,23:45:00,FALSE,FALSE,TRUE
96,23:45:00,00:00:00,FALSE,FALSE,TRUE
